Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
plane | plane
research laboratory | research laboratory
rug | corner
basement | basement
pantry | pantry
ignore | illiterate
newspaper | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
rocks | rocks
armpits | medicine chest
try to learn | try to learn
meeting | meeting
ground | ground
show appreciation | show appreciation
might dream | might dream
conjunction | conjunction
accidentally | knowingly
change yourself | change yourself
new hampshire | new hampshire
kitchen | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three feet | three feet
new experiences | new experiences
penultimate | dissipate
fort knox | fort knox
care for children | care for children
hockey game | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
pantry | cupboard
countryside | countryside
party | party
england | england
kind | kind
economic instability | economic instability
have fun | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
medicine | medicine
get money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
relaxation | relaxation
staying there | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
slaughterhouse | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fresh fruit | fruit cocktail
animal | ungulate
class room | library
opera | populated area
sit down | tie shoelace
residential neighborhood | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
butterflies | butterflies
blush | avoid eye contact
night sky | night sky
create art | create art
row boat | row boat
singing | singing
anger | anger
swimming pool | swimming pool
spend money | spend money
do work | do work
flea market | flea market
train | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
shop | shop
correct | acute angled
intelligence | intelligence
getting paid | selling out
awesome | awesome
authentic | authentic
filing cabinet | filing cabinet
cemetary | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
revealing information | more funding
his feet | surface of earth
walking out of | walking out of
curry | curry
school | house
grocery store | grocery store
relaxation | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
table | table
fast food restaurant | fast food restaurant
naked | naked
have nightmares | restlessness
office | office
basement | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
grief | isolation
marriage | marriage
surface of earth | surface of earth
popularity | popularity
talent | talent
theater | theater
feel happy | feel happy
shelf | shelf
dirty dishes | dirty dishes
theater | theater
small case | small case
gift buyer | generous
piano | piano
school together | school together
boss | have knowledge
say goodbye | say goodbye
have legs | have legs
spinning wheel | spinning wheel
table | table
candy store | candy store
harmful | harmful
hotel | hotel
wooded area | body of water
big city | big city
landscape | landscape
watch film | watch film
lake | lake
create music | sadness
learn from each other | learn from each other
zoo | zoo
bathroom | bathroom
appear suddenly | appear suddenly
accomplish | accomplish
direct traffic | wave on
surface of earth | train station
fast food restaurant | fast food restaurant
pass sentence | pass sentence
house | house
library | health department
sit down | sit down
earth | earth
ignorance | ignorance
cow | cow
rug | hospital
body of water | body of water
body armor | body armor
populated area | populated area
motel | motel
orchestra | orchestra
exchange | exchange
charming | charming
maps | maps
wine press | wine press
trauma | inspiration
spreadsheet | spreadsheet
fairgrounds | fairgrounds
worry | getting bored
wall | office
conquer opponent | conquer opponent
unnecessary | unnecessary
airport | laundry room
police station | police station
bible | bible
apartment | study
humidifier | humidifier
windows | doors and windows
horns | two ears
concert hall | concert hall
frustration | frustration
appear beautiful | appear beautiful
airport | airport
frequent | frequent
losing weight | losing weight
swimming | urinate
look attractive | look attractive
knowing more | growth
blowing hard | blowing hard
enjoy | enjoy
lake superior | lake superior
desk | desk
table | table
cupboard | cupboard
problems | problems
wet clothes | wet ground
similarity | sum
reproduce | reproduce
kitchen | utility room
health | health
linen closet | linen closet
record store | record store
play piano | play piano
learn to read | learn to read
carry people | carry people
office supply store | office supply store
floor | floor
troms | tromsø
office supply store | office supply store
airport | airport
supermarket | chemistry lab
walking | walking
hands | hands
gym | gym
group together | group together
play | eat grass
bus stop | bus stop
bamboo grove | bamboo grove
light up | read book
feel sorry | feel sorry
nil | garden of eden
candy bar | candy bar
office building | office building
rhythmic movement | rhythmic movement
bathroom | hall
listen carefully | listen carefully
school | school
pay bills | pay bills
junk yard | junk yard
honest | honest
sea world | sea world
less confusion | less confusion
school | school
lifting | holding
fabric store | fabric store
city centre | city centre
small group | small group
cupboard | cupboard
egg carton | egg carton
purse | desk drawer
air out | air out
exhilaration | exhilaration
petrify | petrify
toy store | toy store
distress | distress
school children | school children
tighten | bound
mix | with people
hear crowd go mad | hear crowd go mad
conversation | exchange of ideas
cleanliness | cleanliness
retail store | retail store
museum exhibit | museum of natural history
refrigerator | jar
sit | sit
swimming pool | pond
shake hands | nodding
mouth | mouth
treasure | tomb
trunk | trunk
united states | united states
strain | strain
good karma | good karma
errors | errors
need theater | relax
large room | large room
architect | architect
shoreline | coastal area
sail boats | sail boats
shopping mall | shopping mall
home depot | home depot
eyes opening | eyes opening
pleasure | pleasure
submarine | transistor
feel pain | bite
stress | complications
better job | better job
zoo | zoo
make payments | make payments
old cheese | old cheese
garden of eden | new mexico
bar | bar
friend's house | friend's house
wine | coffee
fitness centre | health club
work hard | work hard
known person | known person
study engineering | study engineering
subway | subway
well | utility closet
become tired | become tired
rain | warm climate
getting drunk | drink too much
children | children
fear | fear
walk | walk
coffee shop | diner
exhilaration | reviving
classroom | classroom
meeting | meeting
bathroom | bathroom
flowers | flowers
table | table
eye | eye
pizza | pizza
smiling | smiling
dinner | dinner
shake hands | shake hands
well fed | well fed
regret | regret
work in school | work in school
office | office
searching for | searching for
fishing rod | fishing rod
sword | sword
television | television
internet cafe | internet cafe
garage | garage
not tall | punctured
fast lane | fast lane
